1001, Vihaan Nair, 278560.0, 13928.0
1002, Vikram Saxena, 267148.0, 13357.400000000001
1003, Ritika Malhotra, 261241.0, 13062.050000000001
1004, Pooja Das, 305147.0, 15257.35
1005, Aditya Gupta, 266326.0, 13316.300000000001
1006, Karan Kapoor, 309854.0, 15492.7
1007, Rahul Reddy, 334901.0, 16745.05
1008, Pari Arora, 404790.0, 20239.5
1009, Aman Arora, 336974.0, 16848.7
1010, Kabir Gupta, 315467.0, 15773.35
1011, Ritika Das, 362318.0, 18115.9
1012, Vivaan Reddy, 294680.0, 14734.0
1013, Dhruv Das, 344892.0, 17244.600000000002
1014, Aman Iyer, 317703.0, 15885.150000000001
1015, Siya Bansal, 253436.0, 12671.800000000001
1016, Aadhya Mehta, 315419.0, 15770.95
1017, Reyansh Jain, 314301.0, 15715.050000000001
1018, Tara Sharma, 352488.0, 17624.4
1019, Pari Sharma, 336344.0, 16817.2
1020, Navya Chopra, 323330.0, 16166.5
1021, Arjun Singh, 354252.0, 17712.600000000002
1022, Vihaan Arora, 326938.0, 16346.900000000001
1023, Siya Mehta, 340174.0, 17008.7
1024, Atharva Mishra, 319688.0, 15984.400000000001
1025, Vivaan Mehta, 434524.0, 21726.2
1026, Sneha Joshi, 301585.0, 15079.25
1027, Neha Saxena, 345505.0, 17275.25
1028, Meera Iyer, 295301.0, 14765.050000000001
1029, Aryan Malhotra, 279898.0, 13994.900000000001
1030, Neha Reddy, 283565.0, 14178.25
1031, Sai Jain, 308169.0, 15408.45
1032, Vikram Singh, 324928.0, 16246.400000000001
1033, Karan Kapoor, 321703.0, 16085.150000000001
1034, Aarav Jain, 346836.0, 17341.8
1035, Vihaan Mehta, 339310.0, 16965.5
1036, Aryan Bansal, 302999.0, 15149.95
1037, Anika Das, 314313.0, 15715.650000000001
1038, Arjun Joshi, 314740.0, 15737.0
1039, Siya Verma, 320156.0, 16007.800000000001
1040, Sara Iyer, 349737.0, 17486.850000000002
1041, Riya Iyer, 340483.0, 17024.15
